shift,target,feature_set,seed,fit_seconds,macro_f1,accuracy,roc_auc,avg_precision,fpr,fnr,n_test,macro_f1_lo95,macro_f1_hi95,transfer_dimension
cross_vector,NetBIOS_0311,entropy_only,123,,0.4998105532470423,0.9992425,0.8418771897930506,0.9998116327681112,1.0,0.0,400000,0.499787081244606,0.49982839424794406,
cross_vector,NetBIOS_0311,entropy_only,456,,0.4998105532470423,0.9992425,0.885167292276705,0.999892815592261,1.0,0.0,400000,0.499787081244606,0.49982839424794406,
cross_vector,Portmap_0311,full,42,,0.9885170948852323,0.998823270647751,0.9995700836272102,0.999988603121316,0.00362087326943557,0.0011119577794711144,181860,0.9870082942387938,0.9898952382864813,
cross_vector,Portmap_0311,full,123,,0.9839638044829422,0.9983723743538986,0.99957850041839,0.9999887839333741,0.022364217252396165,0.001078091045070979,181860,0.9821456520245886,0.9855874928718992,
cross_vector,Portmap_0311,full,456,,0.9841083789576397,0.9983888705597712,0.9995703084436579,0.9999883506472395,0.02321618743343983,0.0010385798549374878,181860,0.9823597591945012,0.9856991438568506,
cross_vector,Portmap_0311,cic_only,42,,0.9807538930428406,0.9979984603541185,0.9996340192609388,0.9999901224894338,0.004046858359957401,0.0019473372280077895,181860,0.9788475077405515,0.9827144971066818,
cross_vector,Portmap_0311,cic_only,123,,0.9844267201018732,0.9983943692950621,0.9985577724320756,0.999949666545615,0.005537806176783813,0.0015014252250726723,181860,0.982882519577917,0.9860192248166336,
cross_vector,Portmap_0311,cic_only,456,,0.9816566943943943,0.9981139337952271,0.9993639527925133,0.9999824421380501,0.013844515441959531,0.0015691586938729432,181860,0.9798022622195715,0.9833347743948437,
cross_vector,Portmap_0311,entropy_only,42,,0.4934614581157301,0.9741834378093038,0.9689394605673604,0.999106221124658,1.0,0.0,181860,0.49328846133271825,0.4936604540193939,
cross_vector,Portmap_0311,entropy_only,123,,0.4934614581157301,0.9741834378093038,0.9148299959361722,0.9967343520253258,1.0,0.0,181860,0.49328846133271825,0.4936604540193939,
cross_vector,Portmap_0311,entropy_only,456,,0.4934614581157301,0.9741834378093038,0.970898597653307,0.9991207744202096,1.0,0.0,181860,0.49328846133271825,0.4936604540193939,
cross_day,SYN_0112,full,42,,0.4763708739978118,0.90778,0.9955355989522783,0.9999997550240961,0.047619047619047616,0.09222234167293783,400000,0.47600259198932837,0.47672040744527305,
cross_day,SYN_0112,full,123,,0.47602346328063844,0.9065425,0.9944023251696904,0.999999671747506,0.047619047619047616,0.09345990664509887,400000,0.4756639615339997,0.47636429163650557,
cross_day,SYN_0112,full,456,,0.4936618465673775,0.9687625,0.994742462074497,0.9999997047012166,0.047619047619047616,0.031236639923595988,400000,0.4929018888772098,0.49442625675076346,
cross_day,SYN_0112,cic_only,42,,0.4276710425021552,0.7466575,0.9791098556483739,0.9999987458775307,0.047619047619047616,0.25335330104830506,400000,0.4271480862708483,0.4281377935598844,
cross_day,SYN_0112,cic_only,123,,0.42013127949974755,0.7239775,0.9813758674711375,0.9999988859692786,0.0,0.276036991942077,400000,0.4196201358309419,0.42064631170890715,
cross_day,SYN_0112,cic_only,456,,0.41589750260656627,0.711535,0.939922917381734,0.9999957132063877,0.047619047619047616,0.28847764507636653,400000,0.4153478916906881,0.41645896347680594,
cross_day,SYN_0112,entropy_only,42,,0.4999868746554597,0.9999475,0.8193935538758641,0.9999814629492679,1.0,0.0,400000,0.49998154619374435,0.49999312490546743,
cross_day,SYN_0112,entropy_only,123,,0.4999868746554597,0.9999475,0.9093355972617134,0.9999912592770193,1.0,0.0,400000,0.49998154619374435,0.49999312490546743,
cross_day,SYN_0112,entropy_only,456,,0.4999868746554597,0.9999475,0.8391444122244989,0.9999835767897577,1.0,0.0,400000,0.49998154619374435,0.49999312490546743,
cross_dataset,insdn,full,42,,0.40323539887833715,0.4242743047472378,0.8760346594463375,0.946619970569363,0.000920796854674871,0.8295289539408724,223372,0.4011776738422044,0.4049910391040717,87.0
cross_dataset,insdn,full,123,,0.36522297940953274,0.39510323585767243,0.886677561630748,0.9516899318813115,0.0008769493854046391,0.8715997754157713,223372,0.36346981498947145,0.36695322397748154,87.0
cross_dataset,insdn,full,456,,0.37475583280098757,0.40227960532206364,0.8854520991496959,0.9492554990549471,0.0008331019161344071,0.8612740637483625,223372,0.37279424672184797,0.3766461495786484,87.0
cross_dataset,insdn,cic_only,42,,0.23493438172732686,0.306421574772129,0.7963632960733545,0.9122049379176767,0.0008184860930443298,0.9994643537072532,223372,0.23386684443918457,0.2363170941050593,87.0
cross_dataset,insdn,cic_only,123,,0.23628117491395914,0.3072542664255144,0.8156342890957006,0.9177035781943905,0.0008184860930443298,0.9982639897259169,223372,0.23516086703662617,0.23768704916497813,87.0
cross_dataset,insdn,cic_only,456,,0.24378949543477363,0.31193256092974947,0.7903010638054957,0.9044608609249056,0.0007892544468641752,0.9915329164327248,223372,0.2425219595295826,0.24519981722381062,87.0
cross_dataset,insdn,entropy_only,42,,0.9198240125215329,0.9315178267643214,0.9779007627231809,0.9892252559985654,0.10282231543869393,0.05331939362258233,223372,0.9186131231600897,0.921075531753267,87.0
cross_dataset,insdn,entropy_only,123,,0.9243474203222104,0.9379779023333273,0.9763080376581434,0.9889416308259098,0.16175331413788568,0.01798609901066775,223372,0.9230221535330655,0.9256427474916281,87.0
cross_dataset,insdn,entropy_only,456,,0.8851789059082085,0.9005515462994467,0.9424579136728943,0.9661083735213531,0.12724535582221314,0.08717482075209902,223372,0.8837552192961591,0.8865448158582869,87.0
cross_dataset,ids2017,full,42,,0.26901452519408786,0.3656458163365937,0.5794501786407031,0.5655601199145984,0.14441242058316153,0.9982033215117097,223082,0.2678135201262495,0.27032620409015706,82.0
cross_dataset,ids2017,full,123,,0.2634795862524678,0.3566042979711496,0.5674020733083593,0.5633067862494024,0.16440863382000254,0.9991094724014561,223082,0.26239199678815145,0.2647493369654736,82.0
cross_dataset,ids2017,full,456,,0.2772347361041961,0.3760007530863091,0.5780205761318672,0.5721339143572367,0.12513148483190978,0.9944771665599075,223082,0.2760206338001434,0.27847772024980927,82.0
cross_dataset,ids2017,cic_only,42,,0.5379394835381006,0.5459741261060955,0.6266404349764598,0.7161356573623431,0.20470610510371523,0.6391800896776915,223082,0.5360985833865483,0.5399632080766418,82.0
cross_dataset,ids2017,cic_only,123,,0.5989366727015536,0.6146035986767198,0.678935905368302,0.7513612981723388,0.04700845710438844,0.63669598637649,223082,0.5971733131292957,0.6010096131012027,82.0
cross_dataset,ids2017,cic_only,456,,0.5606038096575376,0.5713549277844021,0.6641038912687586,0.7514451084884577,0.14611646400471243,0.6384614182823753,223082,0.5586265725346676,0.5626662317759211,82.0
cross_dataset,ids2017,entropy_only,42,,0.3348903505590368,0.3717960211940004,0.7152984353236721,0.7266119260626602,0.2874048049816973,0.8812942334432171,223082,0.33308411322678233,0.33655049602017534,82.0
cross_dataset,ids2017,entropy_only,123,,0.33392145501811565,0.3753642158488807,0.7111915552122237,0.7347257342795588,0.26693524634998106,0.8902776258846689,223082,0.3322208819951147,0.33560938477497665,82.0
cross_dataset,ids2017,entropy_only,456,,0.33961717168588657,0.3746783693888346,0.7124810652310442,0.7036279844654917,0.2900555391929987,0.8743028106300873,223082,0.3378203079595429,0.34133744873938754,82.0
