capacity,aggregation,eviction,t,occupancy
1024,exact,idle,8.733333333333333,1024
1024,exact,idle,8.8,1024
1024,exact,idle,8.866666666666667,1024
1024,exact,idle,8.933333333333334,1024
1024,exact,idle,9.0,1024
1024,exact,idle,9.066666666666666,1024
1024,exact,idle,9.133333333333333,1024
1024,exact,idle,9.2,1024
1024,exact,idle,9.266666666666667,1024
1024,exact,idle,9.333333333333334,1024
1024,exact,idle,9.4,1024
1024,exact,idle,9.466666666666667,1024
1024,exact,idle,9.533333333333333,1024
1024,exact,idle,9.6,1024
1024,exact,idle,9.666666666666666,1024
1024,exact,idle,9.733333333333333,1024
1024,exact,idle,9.8,1024
1024,exact,idle,9.866666666666667,1024
1024,exact,idle,9.933333333333334,1024
1024,exact,idle,10.0,1024
1024,exact,idle,10.066666666666666,1024
1024,exact,idle,10.133333333333333,1024
1024,exact,idle,10.2,1024
1024,exact,idle,10.266666666666667,1024
1024,exact,idle,10.333333333333334,1024
1024,exact,idle,10.4,1024
1024,exact,idle,10.466666666666667,1024
1024,exact,idle,10.533333333333333,1024
1024,exact,idle,10.6,1024
1024,exact,idle,10.666666666666666,1024
1024,exact,idle,10.733333333333333,1024
1024,exact,idle,10.8,1024
1024,exact,idle,10.866666666666667,1024
1024,exact,idle,10.933333333333334,1024
1024,exact,idle,11.0,1024
1024,exact,idle,11.066666666666666,1024
1024,exact,idle,11.133333333333333,1024
1024,exact,idle,11.2,1024
1024,exact,idle,11.266666666666667,1024
1024,exact,idle,11.333333333333334,1024
1024,exact,idle,11.4,1024
1024,exact,idle,11.466666666666667,1024
1024,exact,idle,11.533333333333333,1024
1024,exact,idle,11.6,1024
1024,exact,idle,11.666666666666666,1024
1024,exact,idle,11.733333333333333,1024
1024,exact,idle,11.8,1024
1024,exact,idle,11.866666666666667,1024
1024,exact,idle,11.933333333333334,1024
1024,exact,idle,12.0,1024
1024,exact,idle,12.066666666666666,1024
1024,exact,idle,12.133333333333333,1024
1024,exact,idle,12.2,1024
1024,exact,idle,12.266666666666667,1024
1024,exact,idle,12.333333333333334,1024
1024,exact,idle,12.4,1024
1024,exact,idle,12.466666666666667,1024
1024,exact,idle,12.533333333333333,1024
1024,exact,idle,12.6,1024
1024,exact,idle,12.666666666666666,1024
1024,exact,idle,12.733333333333333,1024
1024,exact,idle,12.8,1024
1024,exact,idle,12.866666666666667,1024
1024,exact,idle,12.933333333333334,1024
1024,exact,idle,13.0,1024
1024,exact,idle,13.066666666666666,1024
1024,exact,idle,13.133333333333333,1024
1024,exact,idle,13.2,1024
1024,exact,idle,13.266666666666667,1024
1024,exact,lru,0.0,1
1024,exact,lru,0.06666666666666667,193
1024,exact,lru,0.13333333333333333,383
1024,exact,lru,0.2,577
1024,exact,lru,0.26666666666666666,770
1024,exact,lru,0.3333333333333333,959
1024,exact,lru,0.4,1024
1024,exact,lru,0.4666666666666667,1024
1024,exact,lru,0.5333333333333333,1024
1024,exact,lru,0.6,1024
1024,exact,lru,0.6666666666666666,1024
1024,exact,lru,0.7333333333333333,1024
1024,exact,lru,0.8,1024
1024,exact,lru,0.8666666666666667,1024
1024,exact,lru,0.9333333333333333,1024
1024,exact,lru,1.0,1024
1024,exact,lru,1.0666666666666667,1024
1024,exact,lru,1.1333333333333333,1024
1024,exact,lru,1.2,1024
1024,exact,lru,1.2666666666666666,1024
1024,exact,lru,1.3333333333333333,1024
1024,exact,lru,1.4,1024
1024,exact,lru,1.4666666666666666,1024
1024,exact,lru,1.5333333333333334,1024
1024,exact,lru,1.6,1024
1024,exact,lru,1.6666666666666667,1024
1024,exact,lru,1.7333333333333334,1024
1024,exact,lru,1.8,1024
1024,exact,lru,1.8666666666666667,1024
1024,exact,lru,1.9333333333333333,1024
1024,exact,lru,2.0,1024
1024,exact,lru,2.066666666666667,1024
1024,exact,lru,2.1333333333333333,1024
1024,exact,lru,2.2,1024
1024,exact,lru,2.2666666666666666,1024
1024,exact,lru,2.3333333333333335,1024
1024,exact,lru,2.4,1024
1024,exact,lru,2.466666666666667,1024
1024,exact,lru,2.533333333333333,1024
1024,exact,lru,2.6,1024
1024,exact,lru,2.6666666666666665,1024
1024,exact,lru,2.7333333333333334,1024
1024,exact,lru,2.8,1024
1024,exact,lru,2.8666666666666667,1024
1024,exact,lru,2.933333333333333,1024
1024,exact,lru,3.0,1024
1024,exact,lru,3.066666666666667,1024
1024,exact,lru,3.1333333333333333,1024
1024,exact,lru,3.2,1024
1024,exact,lru,3.2666666666666666,1024
1024,exact,lru,3.3333333333333335,1024
1024,exact,lru,3.4,1024
1024,exact,lru,3.466666666666667,1024
1024,exact,lru,3.533333333333333,1024
1024,exact,lru,3.6,1024
1024,exact,lru,3.6666666666666665,1024
1024,exact,lru,3.7333333333333334,1024
1024,exact,lru,3.8,1024
1024,exact,lru,3.8666666666666667,1024
1024,exact,lru,3.933333333333333,1024
1024,exact,lru,4.0,1024
1024,exact,lru,4.066666666666666,1024
1024,exact,lru,4.133333333333334,1024
1024,exact,lru,4.2,1024
1024,exact,lru,4.266666666666667,1024
1024,exact,lru,4.333333333333333,1024
1024,exact,lru,4.4,1024
1024,exact,lru,4.466666666666667,1024
1024,exact,lru,4.533333333333333,1024
1024,exact,lru,4.6,1024
1024,exact,lru,4.666666666666667,1024
1024,exact,lru,4.733333333333333,1024
1024,exact,lru,4.8,1024
1024,exact,lru,4.866666666666666,1024
1024,exact,lru,4.933333333333334,1024
1024,exact,lru,5.0,1024
1024,exact,lru,5.066666666666666,1024
1024,exact,lru,5.133333333333334,1024
1024,exact,lru,5.2,1024
1024,exact,lru,5.266666666666667,1024
1024,exact,lru,5.333333333333333,1024
1024,exact,lru,5.4,1024
1024,exact,lru,5.466666666666667,1024
1024,exact,lru,5.533333333333333,1024
1024,exact,lru,5.6,1024
1024,exact,lru,5.666666666666667,1024
1024,exact,lru,5.733333333333333,1024
1024,exact,lru,5.8,1024
1024,exact,lru,5.866666666666666,1024
1024,exact,lru,5.933333333333334,1024
1024,exact,lru,6.0,1024
1024,exact,lru,6.066666666666666,1024
1024,exact,lru,6.133333333333334,1024
1024,exact,lru,6.2,1024
1024,exact,lru,6.266666666666667,1024
1024,exact,lru,6.333333333333333,1024
1024,exact,lru,6.4,1024
1024,exact,lru,6.466666666666667,1024
1024,exact,lru,6.533333333333333,1024
1024,exact,lru,6.6,1024
1024,exact,lru,6.666666666666667,1024
1024,exact,lru,6.733333333333333,1024
1024,exact,lru,6.8,1024
1024,exact,lru,6.866666666666666,1024
1024,exact,lru,6.933333333333334,1024
1024,exact,lru,7.0,1024
1024,exact,lru,7.066666666666666,1024
1024,exact,lru,7.133333333333334,1024
1024,exact,lru,7.2,1024
1024,exact,lru,7.266666666666667,1024
1024,exact,lru,7.333333333333333,1024
1024,exact,lru,7.4,1024
1024,exact,lru,7.466666666666667,1024
1024,exact,lru,7.533333333333333,1024
1024,exact,lru,7.6,1024
1024,exact,lru,7.666666666666667,1024
1024,exact,lru,7.733333333333333,1024
1024,exact,lru,7.8,1024
1024,exact,lru,7.866666666666666,1024
1024,exact,lru,7.933333333333334,1024
1024,exact,lru,8.0,1024
1024,exact,lru,8.066666666666666,1024
1024,exact,lru,8.133333333333333,1024
1024,exact,lru,8.2,1024
1024,exact,lru,8.266666666666667,1024
1024,exact,lru,8.333333333333334,1024
1024,exact,lru,8.4,1024
1024,exact,lru,8.466666666666667,1024
1024,exact,lru,8.533333333333333,1024
1024,exact,lru,8.6,1024
1024,exact,lru,8.666666666666666,1024
1024,exact,lru,8.733333333333333,1024
1024,exact,lru,8.8,1024
1024,exact,lru,8.866666666666667,1024
1024,exact,lru,8.933333333333334,1024
1024,exact,lru,9.0,1024
1024,exact,lru,9.066666666666666,1024
1024,exact,lru,9.133333333333333,1024
1024,exact,lru,9.2,1024
1024,exact,lru,9.266666666666667,1024
1024,exact,lru,9.333333333333334,1024
1024,exact,lru,9.4,1024
1024,exact,lru,9.466666666666667,1024
1024,exact,lru,9.533333333333333,1024
1024,exact,lru,9.6,1024
1024,exact,lru,9.666666666666666,1024
1024,exact,lru,9.733333333333333,1024
1024,exact,lru,9.8,1024
1024,exact,lru,9.866666666666667,1024
1024,exact,lru,9.933333333333334,1024
1024,exact,lru,10.0,1024
1024,exact,lru,10.066666666666666,1024
1024,exact,lru,10.133333333333333,1024
1024,exact,lru,10.2,1024
1024,exact,lru,10.266666666666667,1024
1024,exact,lru,10.333333333333334,1024
1024,exact,lru,10.4,1024
1024,exact,lru,10.466666666666667,1024
1024,exact,lru,10.533333333333333,1024
1024,exact,lru,10.6,1024
1024,exact,lru,10.666666666666666,1024
1024,exact,lru,10.733333333333333,1024
1024,exact,lru,10.8,1024
1024,exact,lru,10.866666666666667,1024
1024,exact,lru,10.933333333333334,1024
1024,exact,lru,11.0,1024
1024,exact,lru,11.066666666666666,1024
1024,exact,lru,11.133333333333333,1024
1024,exact,lru,11.2,1024
1024,exact,lru,11.266666666666667,1024
1024,exact,lru,11.333333333333334,1024
1024,exact,lru,11.4,1024
1024,exact,lru,11.466666666666667,1024
1024,exact,lru,11.533333333333333,1024
